seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1607277465.474988,122.0,1607277465.664748,72.0,0.1897599697113037
19.0,1607277465.664415,122.0,1607277465.7746072,72.0,0.11019229888916016
30.0,1607277465.774343,122.0,1607277465.8808682,72.0,0.10652518272399902
40.0,1607277465.874517,122.0,1607277465.99487,72.0,0.12035298347473145
52.0,1607277465.99456,122.0,1607277466.0995169,72.0,0.10495686531066895
62.0,1607277466.095104,122.0,1607277466.191284,72.0,0.09617996215820312
72.0,1607277466.194164,122.0,1607277466.281176,72.0,0.08701205253601074
80.0,1607277466.274668,122.0,1607277466.372322,72.0,0.09765410423278809
90.0,1607277466.374109,122.0,1607277466.4609559,72.0,0.08684682846069336
98.0,1607277466.454433,122.0,1607277466.574882,72.0,0.12044906616210938
110.0,1607277466.574233,122.0,1607277466.699658,72.0,0.12542486190795898
122.0,1607277466.6956549,122.0,1607277466.824623,72.0,0.1289682388305664
135.0,1607277466.824352,123.0,1607277466.93806,73.0,0.1137080192565918
146.0,1607277466.9349408,123.0,1607277467.0328991,73.0,0.09795832633972168
156.0,1607277467.035268,123.0,1607277467.1356769,73.0,0.10040879249572754
166.0,1607277467.13488,123.0,1607277467.2309399,73.0,0.09605979919433594
175.0,1607277467.2247832,123.0,1607277467.327422,73.0,0.10263872146606445
185.0,1607277467.3249652,123.0,1607277467.43034,73.0,0.10537481307983398
195.0,1607277467.424181,123.0,1607277467.524517,73.0,0.10033607482910156
205.0,1607277467.524251,123.0,1607277467.615886,73.0,0.09163498878479004
214.0,1607277467.614392,123.0,1607277467.7116501,73.0,0.09725809097290039
224.0,1607277467.714328,123.0,1607277467.8158789,73.0,0.10155081748962402
234.0,1607277467.8146482,123.0,1607277467.92241,73.0,0.10776185989379883
245.0,1607277467.924319,123.0,1607277468.0210838,73.0,0.09676480293273926
254.0,1607277468.0145578,123.0,1607277468.117117,73.0,0.10255908966064453
264.0,1607277468.115184,124.0,1607277468.21506,74.0,0.09987592697143555
274.0,1607277468.214797,124.0,1607277468.3120909,74.0,0.09729385375976562
284.0,1607277468.31411,124.0,1607277468.426908,74.0,0.11279797554016113
1.0,1607277465.484798,122.0,,,inf
2.0,1607277465.4947221,122.0,,,inf
3.0,1607277465.505273,122.0,,,inf
4.0,1607277465.51498,122.0,,,inf
5.0,1607277465.52496,122.0,,,inf
6.0,1607277465.535864,122.0,,,inf
7.0,1607277465.544914,122.0,,,inf
8.0,1607277465.554707,122.0,,,inf
9.0,1607277465.5643039,122.0,,,inf
10.0,1607277465.574421,122.0,,,inf
11.0,1607277465.585761,122.0,,,inf
12.0,1607277465.5946271,122.0,,,inf
13.0,1607277465.604367,122.0,,,inf
14.0,1607277465.615041,122.0,,,inf
15.0,1607277465.624932,122.0,,,inf
16.0,1607277465.6346009,122.0,,,inf
17.0,1607277465.6442912,122.0,,,inf
18.0,1607277465.655196,122.0,,,inf
20.0,1607277465.674303,122.0,,,inf
21.0,1607277465.684604,122.0,,,inf
22.0,1607277465.6948211,122.0,,,inf
23.0,1607277465.704444,122.0,,,inf
24.0,1607277465.71522,122.0,,,inf
25.0,1607277465.725017,122.0,,,inf
26.0,1607277465.735497,122.0,,,inf
27.0,1607277465.7446568,122.0,,,inf
