tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-1.5555767970533392e-09,0.0,2.0005833369914554e-07,0.0,-1.5555767970533392e-09,0.0,2.0005833369914554e-07
3.0,-5.881852613359091e-13,-4.784329321660729e-13,7.56448434510968e-11,7.904790129193171e-11,,,,
4.0,-5.883463771343242e-13,-7.160156692839365e-10,7.567146341154146e-11,9.211787361611609e-08,-5.883463771343242e-13,-7.160156692839365e-10,7.567146341154146e-11,9.211787361611609e-08
5.0,-8.159228403500255e-13,-8.036930288003932e-10,1.0494995657283208e-10,-1.3980944668172709e-08,,,,
6.0,-1.0950879714034084e-12,-8.111088633262187e-10,1.0009363443157101e-10,-2.0794406053791513e-08,-1.0950879714034084e-12,-8.111088633262187e-10,1.0009363443157101e-10,-2.0794406053791513e-08
7.0,-1.3392713213771183e-12,-1.0734298075225017e-09,9.383350344236465e-11,1.2544255417421223e-08,,,,
8.0,-1.7257624429311226e-12,-1.1877091204137996e-09,9.835009438418772e-11,-3.794711329452389e-08,-1.7257624429311226e-12,-1.1877091204137996e-09,9.835009438418772e-11,-3.794711329452389e-08
9.0,-2.1121607220620227e-12,-1.744324679711345e-09,8.600473218819749e-11,3.9943419275348316e-08,,,,
10.0,-2.730543008591194e-12,-1.869286103586022e-09,1.0016511369892102e-10,-2.1127723972215133e-08,-2.730543008591194e-12,-1.869286103586022e-09,1.0016511369892102e-10,-2.1127723972215133e-08
11.0,-3.3076928194559258e-12,-2.0420495413637735e-09,9.3641841594574e-11,1.1068295235352123e-08,,,,
12.0,-4.05815337728547e-12,-2.1364897927318256e-09,9.77094799394288e-11,-3.865504890185831e-08,-4.05815337728547e-12,-2.1364897927318256e-09,9.77094799394288e-11,-3.865504890185831e-08
13.0,-4.747474289694087e-12,-2.6615317258054164e-09,8.523774538264532e-11,3.644131530302643e-08,,,,
14.0,-5.627375968503573e-12,-2.7486552095956103e-09,9.728523450414189e-11,-2.8977106950166285e-08,-5.627375968503573e-12,-2.7486552095956103e-09,9.728523450414189e-11,-2.8977106950166285e-08
15.0,-6.5049576248829475e-12,-3.178668163603501e-08,8.803351845564176e-11,-7.466326321531311e-08,,,,
16.0,-1.7962513641058527e-11,-1.1635476434871725e-08,6.112103572356192e-11,-2.4853992042792723e-08,-1.7962513641058527e-11,-1.1635476434871725e-08,6.112103572356192e-11,-2.4853992042792723e-08
17.0,-2.1472506368831237e-11,-1.5765389809116772e-08,5.3623505921956937e-11,-4.073490370161607e-09,,,,
18.0,-2.701677355430267e-11,-1.5882883562825044e-08,5.2190967985180975e-11,-7.065936872455656e-08,-2.701677355430267e-11,-1.5882883562825044e-08,5.2190967985180975e-11,-7.065936872455656e-08
19.0,-3.2154836620507876e-11,-1.646039825824969e-08,2.933288360214315e-11,1.0167141342464787e-08,,,,
20.0,-3.7491277983354656e-11,-1.651525320994445e-08,3.2629058624800704e-11,-3.822546841024949e-08,-3.7491277983354656e-11,-1.651525320994445e-08,3.2629058624800704e-11,-3.822546841024949e-08
21.0,-4.2987403412311865e-11,-3.0277454663250358e-09,1.9907971863813677e-11,-7.037507984072869e-09,,,,
22.0,-4.393788941707651e-11,-2.480320401833757e-08,1.7698719824077436e-11,-6.05952200079133e-08,-4.393788941707651e-11,-2.480320401833757e-08,1.7698719824077436e-11,-6.05952200079133e-08
23.0,-5.282001929595258e-11,-2.0831174377017325e-08,-4.000678920997657e-12,-4.742847346900914e-08,,,,
24.0,-6.059871588461081e-11,-2.0883846902601774e-08,-2.1711236093697654e-11,-1.6795516406670131e-09,-6.059871588461081e-11,-2.0883846902601774e-08,-2.1711236093697654e-11,-1.6795516406670131e-09
25.0,-6.65839943849978e-11,-1.7301565944984657e-08,-2.2192593018600297e-11,-2.5270313371214483e-08,,,,
26.0,-7.268708486208376e-11,-1.658226395781822e-08,-3.1106642150294326e-11,-1.0868895039662954e-07,-7.268708486208376e-11,-1.658226395781822e-08,-3.1106642150294326e-11,-1.0868895039662954e-07
27.0,-7.774151810616069e-11,-1.7526431672461226e-08,-6.423607764511041e-11,2.5204782618324942e-08,,,,
28.0,-8.403734887039715e-11,-1.7814049182405867e-08,-5.518203579678142e-11,-5.868226370590304e-08,-8.403734887039715e-11,-1.7814049182405867e-08,-5.518203579678142e-11,-5.868226370590304e-08
29.0,-8.960989698191932e-11,-1.8199326230344708e-08,-7.353888069182911e-11,6.4703459021577706e-09,,,,
30.0,-9.573453686412067e-11,-1.8305364262305756e-08,-7.136140785231714e-11,-5.808914715196091e-08,-9.573453686412067e-11,-1.8305364262305756e-08,-7.136140785231714e-11,-5.808914715196091e-08
31.0,-1.0196476637043893e-10,-1.863654695139754e-08,-9.113204521287756e-11,-1.639767612355557e-08,,,,
32.0,-1.0817514963957238e-10,-1.022176043103815e-08,-9.659635433172761e-11,-2.0487399462903183e-08,-1.0817514963957238e-10,-1.022176043103815e-08,-9.659635433172761e-11,-2.0487399462903183e-08
33.0,-1.111808848708963e-10,2.4157031039697595e-08,-1.0262072741103293e-10,5.621240263725124e-08,,,,
34.0,-1.0285073533404053e-10,3.020054543168753e-08,-8.323681723495403e-11,1.1350035805600867e-08,-1.0285073533404053e-10,3.020054543168753e-08,-8.323681723495403e-11,1.1350035805600867e-08
35.0,-9.288065947122248e-11,2.9633084365971502e-08,-7.948984126448664e-11,8.714478202387045e-08,,,,
36.0,-7.95570044210488e-11,-0.0538038228529463,-4.0307723035783625e-11,-0.08844466434784132,-7.95570044210488e-11,-0.0538038228529463,-4.0307723035783625e-11,-0.08844466434784132
37.0,-3.2297183667742954e-05,-0.1256132955384589,-5.309118478436747e-05,-0.20648798880013644,,,,
38.0,-6.888843714873077e-05,-0.1604609968335135,-0.00011324130111223547,-0.2637725050889036,-6.888843714873077e-05,-0.1604609968335135,-0.00011324130111223547,-0.2637725050889036
39.0,-0.0001255859611126794,-0.2027306505476601,-0.0002064430649266888,-0.3332583207250855,,,,
40.0,-0.0001941269640256904,-0.24317589145568352,-0.0003191140373223174,-0.3997450544774108,-0.0001941269640256904,-0.24317589145568352,-0.0003191140373223174,-0.3997450544774108
41.0,-0.00026646298876648847,-0.27876135252482503,-0.0004380237202583799,-0.45824388687779,,,,
42.0,-0.0003806913441201198,-0.3277824638199417,-0.0006257988371273651,-0.5388306811485015,-0.0003806913441201198,-0.3277824638199417,-0.0006257988371273651,-0.5388306811485015
43.0,-0.0006029765849163234,-0.40891086854660574,-0.0009912061451073054,-0.6722029632243062,,,,
44.0,-0.0007193878117001094,-0.44296880025250757,-0.0011825729627093153,-0.7281940795878564,-0.0007193878117001094,-0.44296880025250757,-0.0011825729627093153,-0.7281940795878564
45.0,-0.0008537303558468167,-0.4792512230874361,-0.0014034179640471916,-0.7878434913314165,,,,
46.0,-0.001033038366955205,-0.5240119862295073,-0.0016981833035809245,-0.8614326554619891,-0.001033038366955205,-0.5240119862295073,-0.0016981833035809245,-0.8614326554619891
47.0,-0.0012009282789957633,-0.5623428994494555,-0.0019741805260777294,-0.9244524049741035,,,,
48.0,-0.0013839391016479752,-0.6012784546058333,-0.0022750375215208327,-0.9884678522652008,-0.0013839391016479752,-0.6012784546058333,-0.0022750375215208327,-0.9884678522652008
49.0,-0.0015836878127910646,-0.6410236474616886,-0.0026034131318290153,-1.0538160361473672,,,,
50.0,-0.0017974974042600357,-0.680929360550798,-0.002954907147789769,-1.1194299950097002,-0.0017974974042600357,-0.680929360550798,-0.002954907147789769,-1.1194299950097002
51.0,-0.002014926229445644,-0.7191328207394329,-0.0033123544290989625,-1.1822468311153114,,,,
52.0,-0.0022678252985494736,-0.7612085942500953,-0.003728117851956767,-1.2514330381635623,-0.0022678252985494736,-0.7612085942500953,-0.003728117851956767,-1.2514330381635623
53.0,-0.00251086387702717,-0.7994093216085724,-0.004127675225523899,-1.3142493176867969,,,,
54.0,-0.002783784084712762,-0.8402575354606289,-0.0045763630091639265,-1.3814214467000745,-0.002783784084712762,-0.8402575354606289,-0.0045763630091639265,-1.3814214467000745
55.0,-0.003063551360226032,-0.8800955467539743,-0.0050363130818128,-1.4469345882849596,,,,
56.0,-0.0033455447692447115,-0.9184334761234614,-0.005499928672963584,-1.509983146117557,-0.0033455447692447115,-0.9184334761234614,-0.005499928672963584,-1.509983146117557
57.0,-0.0036579781426702824,-0.9591373728531821,-0.006013595846930843,-1.5769252145149042,,,,
58.0,-0.003981247593206483,-0.9994663204895265,-0.006545085664824684,-1.6432532489914617,-0.003981247593206483,-0.9994663204895265,-0.006545085664824684,-1.6432532489914617
59.0,-0.004312577075033212,-1.0391335231088008,-0.007089834633686147,-1.708495608265353,,,,
60.0,-0.004634424506642855,-1.0761951540187629,-0.0076190013973485154,-1.7694548491852407,-0.004634424506642855,-1.0761951540187629,-0.0076190013973485154,-1.7694548491852407
61.0,-0.005028198430298152,-1.1199784873416345,-0.008266435253645565,-1.8414733662499472,,,,
62.0,-0.005400270216839563,-1.1597320780885667,-0.008878197258892051,-1.906866280590448,-0.005400270216839563,-1.1597320780885667,-0.008878197258892051,-1.906866280590448
63.0,-0.005770844123995009,-1.1979689533567839,-0.009487505996118695,-1.9697671283613343,,,,
64.0,-0.006191646212593376,-1.2400032578987503,-0.010179412175610473,-2.0389181639413425,-0.006191646212593376,-1.2400032578987503,-0.010179412175610473,-2.0389181639413425
65.0,-0.0066082559764983635,-1.2802086150485166,-0.01086443716202914,-2.1050635623105496,,,,
66.0,-0.0069987274560343385,-1.3167084414330223,-0.01150649445959038,-2.165115438997761,-0.0069987274560343385,-1.3167084414330223,-0.01150649445959038,-2.165115438997761
67.0,-0.007415227792422819,-1.3545625312094998,-0.012191362331843883,-2.2273983494143073,,,,
68.0,-0.00786336204922294,-1.394134700923689,-0.012928259655455309,-2.292511332066143,-0.00786336204922294,-1.394134700923689,-0.012928259655455309,-2.292511332066143
69.0,-0.008400612954129031,-1.440230168991006,-0.013811713590605165,-2.368362334807962,,,,
70.0,-0.008808906781211987,-1.4741403078348716,-0.014483125523515388,-2.4241647836421847,-0.008808906781211987,-1.4741403078348716,-0.014483125523515388,-2.4241647836421847
71.0,-0.009318236409315893,-1.5154690620982272,-0.015320697728245689,-2.492178998643017,,,,
72.0,-0.009873083276363255,-1.5592876353665803,-0.016233139786022706,-2.5638377786356763,-0.009873083276363255,-1.5592876353665803,-0.016233139786022706,-2.5638377786356763
73.0,-0.01035013267109992,-1.595860660690087,-0.017017521854321226,-2.6244925213606747,,,,
74.0,-0.01090417878769632,-1.6373894085200664,-0.017928685294409656,-2.6928480040326197,-0.01090417878769632,-1.6373894085200664,-0.017928685294409656,-2.6928480040326197
75.0,-0.011509575795035958,-1.6816163571891671,-0.01892432024500784,-2.765647786536081,,,,
76.0,-0.012035233709530531,-1.719007945996683,-0.019788836483495848,-2.827200061382385,-0.012035233709530531,-1.719007945996683,-0.019788836483495848,-2.827200061382385
77.0,-0.012543722677586014,-1.754391374425539,-0.020625132816532984,-2.885449558261852,,,,
78.0,-0.0131471995091146,-1.7955374618364237,-0.021617671871580264,-2.953189526525698,-0.0131471995091146,-1.7955374618364237,-0.021617671871580264,-2.953189526525698
79.0,-0.013803409557787062,-1.8392533626992067,-0.022696965778908933,-3.025164662501282,,,,
80.0,-0.014346856936902913,-1.8745962548104116,-0.023590816425356858,-3.0833575034044105,-0.014346856936902913,-1.8745962548104116,-0.023590816425356858,-3.0833575034044105
81.0,-0.015002159049804653,-1.916409597958874,-0.02466866488559327,-3.152208024512928,,,,
82.0,-0.015676675564067353,-1.9585092143018037,-0.025778143971478644,-3.2215340651213213,-0.015676675564067353,-1.9585092143018037,-0.025778143971478644,-3.2215340651213213
83.0,-0.016244290965690893,-1.9931744586286493,-0.026711809403770027,-3.278621033828277,,,,
84.0,-0.01693672349321083,-2.034726186801966,-0.027850808471014604,-3.3470525260046347,-0.01693672349321083,-2.034726186801966,-0.027850808471014604,-3.3470525260046347
