tick,tick_dt,input_force,output_position,output_speed,output_ang_vel,output_angle
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.004488392999999924,0.0,0.0,-2.8016962592026982e-09,3.6031823450253876e-07,0.0
3.0,0.005138724000000039,0.0,-1.4397143807875235e-12,-4.995425268775045e-13,1.225214228307945e-10,1.851575959275838e-10
4.0,0.004593585000000289,0.0,-1.4399438498933561e-12,-3.6154444216512737e-10,4.660758668265131e-08,1.8521387718459322e-10
5.0,0.005037735000000154,0.0,-1.6220803589284356e-12,-4.531162207014991e-10,-3.451511237096076e-08,2.086935442542666e-10
6.0,0.005340880999999964,0.0,-1.864084340322078e-12,-1.0005873632875894e-09,3.036175384223461e-08,1.9025943346677378e-10
7.0,0.005246394999999904,0.0,-2.389031994303588e-12,-9.223418306999009e-10,2.036512469463786e-08,2.0618840882168653e-10
8.0,0.004572962999999763,0.0,-2.8108155008178572e-12,3.037716884294403e-08,7.069222207092372e-08,2.1550130499358258e-10
9.0,0.005672826999999714,0.0,1.442162685876244e-11,3.7809730032276335e-08,-6.165964024515733e-09,2.5560377959897375e-10
10.0,0.004585268000000031,0.0,3.175840137932612e-11,3.687302874400165e-08,1.3379132144307892e-07,2.5277651984589743e-10
11.0,0.004763152999999853,0.0,4.932158912743335e-11,3.6679378127601836e-08,-3.700796311763118e-09,3.1650337325645204e-10
12.0,0.005635273999999857,0.0,6.999142371729715e-11,2.2386715828217794e-08,5.023511207366478e-08,3.1441787313295464e-10
13.0,0.004724470999999841,0.0,8.056796268886239e-11,2.423125872092811e-08,9.668609132033493e-08,3.3815130615033173e-10
14.0,0.0048960359999998815,0.0,9.24316741911599e-11,2.4086355321172132e-08,-1.7802765072878263e-08,3.8548916453069534e-10
15.0,0.005112073999999911,0.0,1.0474479727037226e-10,1.4100819625221091e-08,3.148680034181067e-08,3.763882592849786e-10
16.0,0.004965615999999784,0.0,1.1174672282478314e-10,1.4309833427762097e-08,3.993132893025336e-08,3.9202339524158796e-10
17.0,0.004443006000000249,0.0,1.1810459040263827e-10,4.890342790621343e-08,1.138271098695974e-07,4.097649086440979e-10
18.0,0.005050444000000098,0.0,1.4280299280747555e-10,5.353525981086171e-08,3.5907239670006766e-08,4.67252653051924e-10
19.0,0.005840447000000193,0.0,1.7406997756313337e-10,5.259938558150027e-08,1.4067304415307074e-07,4.882240860728218e-10
20.0,0.004436892000000192,0.0,1.9740775687228177e-10,5.2691966176919105e-08,1.2890274309481856e-07,5.506391964946651e-10
21.0,0.004583792000000031,0.0,2.2156065817488518e-10,5.25322047826462e-08,-1.2248547480642563e-08,6.09725532752274e-10
22.0,0.004975535999999892,0.0,2.4769824578042746e-10,2.3382369423673974e-08,5.034128338233956e-08,6.036312238585095e-10
23.0,0.005744595999999991,0.0,2.611304723666034e-10,1.8845613486643415e-08,6.632965421438364e-08,6.325502573738149e-10
